index_entity_id,stock_entity_id
IDX_NIFTY 50,STK_ADANIENT
IDX_NIFTY 50,STK_ADANIPORTS
IDX_NIFTY 50,STK_APOLLOHOSP
IDX_NIFTY 50,STK_ASIANPAINT
IDX_NIFTY 50,STK_AXISBANK
IDX_NIFTY 50,STK_BAJFINANCE
IDX_NIFTY 50,STK_BAJAJFINSV
IDX_NIFTY 50,STK_BEL
IDX_NIFTY 50,STK_BHARTIARTL
IDX_NIFTY 50,STK_CIPLA
IDX_NIFTY 50,STK_COALINDIA
IDX_NIFTY 50,STK_DRREDDY
IDX_NIFTY 50,STK_DUMMYHDLVR
IDX_NIFTY 50,STK_EICHERMOT
IDX_NIFTY 50,STK_ETERNAL
IDX_NIFTY 50,STK_GRASIM
IDX_NIFTY 50,STK_HCLTECH
IDX_NIFTY 50,STK_HDFCBANK
IDX_NIFTY 50,STK_HDFCLIFE
IDX_NIFTY 50,STK_HINDALCO
IDX_NIFTY 50,STK_HINDUNILVR
IDX_NIFTY 50,STK_ICICIBANK
IDX_NIFTY 50,STK_ITC
IDX_NIFTY 50,STK_INFY
IDX_NIFTY 50,STK_INDIGO
IDX_NIFTY 50,STK_JSWSTEEL
IDX_NIFTY 50,STK_JIOFIN
IDX_NIFTY 50,STK_KOTAKBANK
IDX_NIFTY 50,STK_LT
IDX_NIFTY 50,STK_M&M
IDX_NIFTY 50,STK_MARUTI
IDX_NIFTY 50,STK_MAXHEALTH
IDX_NIFTY 50,STK_NTPC
IDX_NIFTY 50,STK_NESTLEIND
IDX_NIFTY 50,STK_ONGC
IDX_NIFTY 50,STK_POWERGRID
IDX_NIFTY 50,STK_RELIANCE
IDX_NIFTY 50,STK_SBILIFE
IDX_NIFTY 50,STK_SHRIRAMFIN
IDX_NIFTY 50,STK_SBIN
IDX_NIFTY 50,STK_SUNPHARMA
IDX_NIFTY 50,STK_TCS
IDX_NIFTY 50,STK_TATACONSUM
IDX_NIFTY 50,STK_TMPV
IDX_NIFTY 50,STK_TATASTEEL
IDX_NIFTY 50,STK_TECHM
IDX_NIFTY 50,STK_TITAN
IDX_NIFTY 50,STK_TRENT
IDX_NIFTY 50,STK_ULTRACEMCO
IDX_NIFTY 50,STK_WIPRO
IDX_NIFTY TOTAL MKT,STK_360ONE
IDX_NIFTY TOTAL MKT,STK_3MINDIA
IDX_NIFTY TOTAL MKT,STK_ABB
IDX_NIFTY TOTAL MKT,STK_ACC
IDX_NIFTY TOTAL MKT,STK_ACMESOLAR
IDX_NIFTY TOTAL MKT,STK_AGI
IDX_NIFTY TOTAL MKT,STK_AIAENG
IDX_NIFTY TOTAL MKT,STK_APLAPOLLO
IDX_NIFTY TOTAL MKT,STK_ASKAUTOLTD
IDX_NIFTY TOTAL MKT,STK_AUBANK
IDX_NIFTY TOTAL MKT,STK_AWL
IDX_NIFTY TOTAL MKT,STK_AADHARHFC
IDX_NIFTY TOTAL MKT,STK_AARTIDRUGS
IDX_NIFTY TOTAL MKT,STK_AARTIIND
IDX_NIFTY TOTAL MKT,STK_AARTIPHARM
IDX_NIFTY TOTAL MKT,STK_AAVAS
IDX_NIFTY TOTAL MKT,STK_ABBOTINDIA
IDX_NIFTY TOTAL MKT,STK_ACE
IDX_NIFTY TOTAL MKT,STK_ACUTAAS
IDX_NIFTY TOTAL MKT,STK_ADANIENSOL
IDX_NIFTY TOTAL MKT,STK_ADANIENT
IDX_NIFTY TOTAL MKT,STK_ADANIGREEN
IDX_NIFTY TOTAL MKT,STK_ADANIPORTS
IDX_NIFTY TOTAL MKT,STK_ADANIPOWER
IDX_NIFTY TOTAL MKT,STK_ATGL
IDX_NIFTY TOTAL MKT,STK_ABCAPITAL
IDX_NIFTY TOTAL MKT,STK_ABFRL
IDX_NIFTY TOTAL MKT,STK_ABLBL
IDX_NIFTY TOTAL MKT,STK_ABREL
IDX_NIFTY TOTAL MKT,STK_ABSLAMC
IDX_NIFTY TOTAL MKT,STK_ADVENZYMES
IDX_NIFTY TOTAL MKT,STK_AEGISLOG
IDX_NIFTY TOTAL MKT,STK_AEGISVOPAK
IDX_NIFTY TOTAL MKT,STK_AETHER
IDX_NIFTY TOTAL MKT,STK_AFCONS
IDX_NIFTY TOTAL MKT,STK_AFFLE
IDX_NIFTY TOTAL MKT,STK_AHLUCONT
IDX_NIFTY TOTAL MKT,STK_AJANTPHARM
IDX_NIFTY TOTAL MKT,STK_AJAXENGG
IDX_NIFTY TOTAL MKT,STK_AKUMS
IDX_NIFTY TOTAL MKT,STK_AKZOINDIA
IDX_NIFTY TOTAL MKT,STK_APLLTD
IDX_NIFTY TOTAL MKT,STK_ALIVUS
IDX_NIFTY TOTAL MKT,STK_ALKEM
IDX_NIFTY TOTAL MKT,STK_ALKYLAMINE
IDX_NIFTY TOTAL MKT,STK_ALLCARGO
IDX_NIFTY TOTAL MKT,STK_ABDL
IDX_NIFTY TOTAL MKT,STK_ALOKINDS
IDX_NIFTY TOTAL MKT,STK_ARE&M
IDX_NIFTY TOTAL MKT,STK_AMBER
IDX_NIFTY TOTAL MKT,STK_AMBUJACEM
IDX_NIFTY TOTAL MKT,STK_ANANDRATHI
IDX_NIFTY TOTAL MKT,STK_ANANTRAJ
IDX_NIFTY TOTAL MKT,STK_ANGELONE
IDX_NIFTY TOTAL MKT,STK_ANURAS
IDX_NIFTY TOTAL MKT,STK_APARINDS
IDX_NIFTY TOTAL MKT,STK_PARKHOTELS
IDX_NIFTY TOTAL MKT,STK_APOLLOHOSP
IDX_NIFTY TOTAL MKT,STK_APOLLOTYRE
IDX_NIFTY TOTAL MKT,STK_APTUS
IDX_NIFTY TOTAL MKT,STK_ACI
IDX_NIFTY TOTAL MKT,STK_ARVINDFASN
IDX_NIFTY TOTAL MKT,STK_ARVIND
IDX_NIFTY TOTAL MKT,STK_ASAHIINDIA
IDX_NIFTY TOTAL MKT,STK_ASHOKLEY
IDX_NIFTY TOTAL MKT,STK_ASHOKA
IDX_NIFTY TOTAL MKT,STK_ASIANPAINT
IDX_NIFTY TOTAL MKT,STK_ASTERDM
IDX_NIFTY TOTAL MKT,STK_ASTRAMICRO
IDX_NIFTY TOTAL MKT,STK_ASTRAZEN
IDX_NIFTY TOTAL MKT,STK_ASTRAL
IDX_NIFTY TOTAL MKT,STK_ATHERENERG
IDX_NIFTY TOTAL MKT,STK_ATUL
IDX_NIFTY TOTAL MKT,STK_AURIONPRO
IDX_NIFTY TOTAL MKT,STK_AUROPHARMA
IDX_NIFTY TOTAL MKT,STK_AIIL
IDX_NIFTY TOTAL MKT,STK_AVALON
IDX_NIFTY TOTAL MKT,STK_AVANTIFEED
IDX_NIFTY TOTAL MKT,STK_DMART
IDX_NIFTY TOTAL MKT,STK_AWFIS
IDX_NIFTY TOTAL MKT,STK_AXISBANK
IDX_NIFTY TOTAL MKT,STK_AZAD
IDX_NIFTY TOTAL MKT,STK_BASF
IDX_NIFTY TOTAL MKT,STK_BEML
IDX_NIFTY TOTAL MKT,STK_BLS
IDX_NIFTY TOTAL MKT,STK_BSE
IDX_NIFTY TOTAL MKT,STK_BAJAJ-AUTO
IDX_NIFTY TOTAL MKT,STK_BAJAJELEC
IDX_NIFTY TOTAL MKT,STK_BAJFINANCE
IDX_NIFTY TOTAL MKT,STK_BAJAJFINSV
IDX_NIFTY TOTAL MKT,STK_BAJAJHLDNG
IDX_NIFTY TOTAL MKT,STK_BAJAJHFL
IDX_NIFTY TOTAL MKT,STK_BALAMINES
IDX_NIFTY TOTAL MKT,STK_BALKRISIND
IDX_NIFTY TOTAL MKT,STK_BALRAMCHIN
IDX_NIFTY TOTAL MKT,STK_BALUFORGE
IDX_NIFTY TOTAL MKT,STK_BANCOINDIA
IDX_NIFTY TOTAL MKT,STK_BANDHANBNK
IDX_NIFTY TOTAL MKT,STK_BANKBARODA
IDX_NIFTY TOTAL MKT,STK_BANKINDIA
IDX_NIFTY TOTAL MKT,STK_MAHABANK
IDX_NIFTY TOTAL MKT,STK_BATAINDIA
IDX_NIFTY TOTAL MKT,STK_BAYERCROP
IDX_NIFTY TOTAL MKT,STK_BELRISE
IDX_NIFTY TOTAL MKT,STK_BERGEPAINT
IDX_NIFTY TOTAL MKT,STK_BBL
IDX_NIFTY TOTAL MKT,STK_BDL
IDX_NIFTY TOTAL MKT,STK_BEL
IDX_NIFTY TOTAL MKT,STK_BHARATFORG
IDX_NIFTY TOTAL MKT,STK_BHEL
IDX_NIFTY TOTAL MKT,STK_BPCL
IDX_NIFTY TOTAL MKT,STK_BHARTIARTL
IDX_NIFTY TOTAL MKT,STK_BHARTIHEXA
IDX_NIFTY TOTAL MKT,STK_BIKAJI
IDX_NIFTY TOTAL MKT,STK_BIOCON
IDX_NIFTY TOTAL MKT,STK_BIRLACORPN
IDX_NIFTY TOTAL MKT,STK_BSOFT
IDX_NIFTY TOTAL MKT,STK_BLACKBUCK
IDX_NIFTY TOTAL MKT,STK_BLUEDART
IDX_NIFTY TOTAL MKT,STK_BLUEJET
IDX_NIFTY TOTAL MKT,STK_BLUESTARCO
IDX_NIFTY TOTAL MKT,STK_BBTC
IDX_NIFTY TOTAL MKT,STK_BORORENEW
IDX_NIFTY TOTAL MKT,STK_BOSCHLTD
IDX_NIFTY TOTAL MKT,STK_FIRSTCRY
IDX_NIFTY TOTAL MKT,STK_BRIGADE
IDX_NIFTY TOTAL MKT,STK_BRITANNIA
IDX_NIFTY TOTAL MKT,STK_MAPMYINDIA
IDX_NIFTY TOTAL MKT,STK_CCL
IDX_NIFTY TOTAL MKT,STK_CESC
IDX_NIFTY TOTAL MKT,STK_CGPOWER
IDX_NIFTY TOTAL MKT,STK_CIEINDIA
IDX_NIFTY TOTAL MKT,STK_CMSINFO
IDX_NIFTY TOTAL MKT,STK_CRISIL
IDX_NIFTY TOTAL MKT,STK_CSBBANK
IDX_NIFTY TOTAL MKT,STK_CAMPUS
IDX_NIFTY TOTAL MKT,STK_CANFINHOME
IDX_NIFTY TOTAL MKT,STK_CANBK
IDX_NIFTY TOTAL MKT,STK_CAPLIPOINT
IDX_NIFTY TOTAL MKT,STK_CGCL
IDX_NIFTY TOTAL MKT,STK_CARBORUNIV
IDX_NIFTY TOTAL MKT,STK_CARTRADE
IDX_NIFTY TOTAL MKT,STK_CASTROLIND
IDX_NIFTY TOTAL MKT,STK_CEATLTD
IDX_NIFTY TOTAL MKT,STK_CEIGALL
IDX_NIFTY TOTAL MKT,STK_CELLO
IDX_NIFTY TOTAL MKT,STK_CEMPRO
IDX_NIFTY TOTAL MKT,STK_CENTRALBK
IDX_NIFTY TOTAL MKT,STK_CDSL
IDX_NIFTY TOTAL MKT,STK_CENTURYPLY
IDX_NIFTY TOTAL MKT,STK_CERA
IDX_NIFTY TOTAL MKT,STK_CHALET
IDX_NIFTY TOTAL MKT,STK_CHAMBLFERT
IDX_NIFTY TOTAL MKT,STK_CHENNPETRO
IDX_NIFTY TOTAL MKT,STK_CHOICEIN
IDX_NIFTY TOTAL MKT,STK_CHOLAHLDNG
IDX_NIFTY TOTAL MKT,STK_CHOLAFIN
IDX_NIFTY TOTAL MKT,STK_CIGNITITEC
IDX_NIFTY TOTAL MKT,STK_CIPLA
IDX_NIFTY TOTAL MKT,STK_CUB
IDX_NIFTY TOTAL MKT,STK_CLEAN
IDX_NIFTY TOTAL MKT,STK_COALINDIA
IDX_NIFTY TOTAL MKT,STK_COCHINSHIP
IDX_NIFTY TOTAL MKT,STK_COFORGE
IDX_NIFTY TOTAL MKT,STK_COHANCE
IDX_NIFTY TOTAL MKT,STK_COLPAL
IDX_NIFTY TOTAL MKT,STK_CAMS
IDX_NIFTY TOTAL MKT,STK_CONCORDBIO
IDX_NIFTY TOTAL MKT,STK_CONCOR
IDX_NIFTY TOTAL MKT,STK_COROMANDEL
IDX_NIFTY TOTAL MKT,STK_CRAFTSMAN
IDX_NIFTY TOTAL MKT,STK_CREDITACC
IDX_NIFTY TOTAL MKT,STK_CROMPTON
IDX_NIFTY TOTAL MKT,STK_CUMMINSIND
IDX_NIFTY TOTAL MKT,STK_CYIENTDLM
IDX_NIFTY TOTAL MKT,STK_CYIENT
IDX_NIFTY TOTAL MKT,STK_DCBBANK
IDX_NIFTY TOTAL MKT,STK_DCMSHRIRAM
IDX_NIFTY TOTAL MKT,STK_DLF
IDX_NIFTY TOTAL MKT,STK_DOMS
IDX_NIFTY TOTAL MKT,STK_DABUR
IDX_NIFTY TOTAL MKT,STK_DALBHARAT
IDX_NIFTY TOTAL MKT,STK_DATAPATTNS
IDX_NIFTY TOTAL MKT,STK_DATAMATICS
IDX_NIFTY TOTAL MKT,STK_DEEPAKFERT
IDX_NIFTY TOTAL MKT,STK_DEEPAKNTR
IDX_NIFTY TOTAL MKT,STK_DELHIVERY
IDX_NIFTY TOTAL MKT,STK_DEVYANI
IDX_NIFTY TOTAL MKT,STK_DHANUKA
IDX_NIFTY TOTAL MKT,STK_DIACABS
IDX_NIFTY TOTAL MKT,STK_DBL
IDX_NIFTY TOTAL MKT,STK_DCAL
IDX_NIFTY TOTAL MKT,STK_DIVISLAB
IDX_NIFTY TOTAL MKT,STK_DIXON
IDX_NIFTY TOTAL MKT,STK_DODLA
IDX_NIFTY TOTAL MKT,STK_AGARWALEYE
IDX_NIFTY TOTAL MKT,STK_LALPATHLAB
IDX_NIFTY TOTAL MKT,STK_DRREDDY
IDX_NIFTY TOTAL MKT,STK_DUMMYALCAR
IDX_NIFTY TOTAL MKT,STK_DUMMYHDLVR
IDX_NIFTY TOTAL MKT,STK_DYNAMATECH
IDX_NIFTY TOTAL MKT,STK_EIDPARRY
IDX_NIFTY TOTAL MKT,STK_EIHOTEL
IDX_NIFTY TOTAL MKT,STK_EPL
IDX_NIFTY TOTAL MKT,STK_EASEMYTRIP
IDX_NIFTY TOTAL MKT,STK_EDELWEISS
IDX_NIFTY TOTAL MKT,STK_EICHERMOT
IDX_NIFTY TOTAL MKT,STK_ELECON
IDX_NIFTY TOTAL MKT,STK_EMIL
IDX_NIFTY TOTAL MKT,STK_ELECTCAST
IDX_NIFTY TOTAL MKT,STK_ELGIEQUIP
IDX_NIFTY TOTAL MKT,STK_EMAMILTD
IDX_NIFTY TOTAL MKT,STK_EMBDL
IDX_NIFTY TOTAL MKT,STK_EMCURE
IDX_NIFTY TOTAL MKT,STK_ENDURANCE
IDX_NIFTY TOTAL MKT,STK_ENGINERSIN
IDX_NIFTY TOTAL MKT,STK_ENTERO
IDX_NIFTY TOTAL MKT,STK_EIEL
IDX_NIFTY TOTAL MKT,STK_EPIGRAL
IDX_NIFTY TOTAL MKT,STK_EQUITASBNK
IDX_NIFTY TOTAL MKT,STK_ERIS
IDX_NIFTY TOTAL MKT,STK_ESCORTS
IDX_NIFTY TOTAL MKT,STK_ETERNAL
IDX_NIFTY TOTAL MKT,STK_ETHOSLTD
IDX_NIFTY TOTAL MKT,STK_EUREKAFORB
IDX_NIFTY TOTAL MKT,STK_EXIDEIND
IDX_NIFTY TOTAL MKT,STK_FDC
IDX_NIFTY TOTAL MKT,STK_NYKAA
IDX_NIFTY TOTAL MKT,STK_FEDERALBNK
IDX_NIFTY TOTAL MKT,STK_FACT
IDX_NIFTY TOTAL MKT,STK_FIEMIND
IDX_NIFTY TOTAL MKT,STK_FINEORG
IDX_NIFTY TOTAL MKT,STK_FINCABLES
IDX_NIFTY TOTAL MKT,STK_FINPIPE
IDX_NIFTY TOTAL MKT,STK_FSL
IDX_NIFTY TOTAL MKT,STK_FIVESTAR
IDX_NIFTY TOTAL MKT,STK_FORCEMOT
IDX_NIFTY TOTAL MKT,STK_FORTIS
IDX_NIFTY TOTAL MKT,STK_GRINFRA
IDX_NIFTY TOTAL MKT,STK_GAIL
IDX_NIFTY TOTAL MKT,STK_GVT&D
IDX_NIFTY TOTAL MKT,STK_GHCL
IDX_NIFTY TOTAL MKT,STK_GMMPFAUDLR
IDX_NIFTY TOTAL MKT,STK_GMRAIRPORT
IDX_NIFTY TOTAL MKT,STK_GMRP&UI
IDX_NIFTY TOTAL MKT,STK_GABRIEL
IDX_NIFTY TOTAL MKT,STK_GALLANTT
IDX_NIFTY TOTAL MKT,STK_GANESHHOU
IDX_NIFTY TOTAL MKT,STK_GANECOS
IDX_NIFTY TOTAL MKT,STK_GRSE
IDX_NIFTY TOTAL MKT,STK_GRWRHITECH
IDX_NIFTY TOTAL MKT,STK_GARFIBRES
IDX_NIFTY TOTAL MKT,STK_GATEWAY
IDX_NIFTY TOTAL MKT,STK_GICRE
IDX_NIFTY TOTAL MKT,STK_GILLETTE
IDX_NIFTY TOTAL MKT,STK_GLAND
IDX_NIFTY TOTAL MKT,STK_GLAXO
IDX_NIFTY TOTAL MKT,STK_GLENMARK
IDX_NIFTY TOTAL MKT,STK_MEDANTA
IDX_NIFTY TOTAL MKT,STK_GODIGIT
IDX_NIFTY TOTAL MKT,STK_GPIL
IDX_NIFTY TOTAL MKT,STK_GODFRYPHLP
IDX_NIFTY TOTAL MKT,STK_GODREJAGRO
IDX_NIFTY TOTAL MKT,STK_GODREJCP
IDX_NIFTY TOTAL MKT,STK_GODREJIND
IDX_NIFTY TOTAL MKT,STK_GODREJPROP
IDX_NIFTY TOTAL MKT,STK_GOKEX
IDX_NIFTY TOTAL MKT,STK_GRANULES
IDX_NIFTY TOTAL MKT,STK_GRAPHITE
IDX_NIFTY TOTAL MKT,STK_GRASIM
IDX_NIFTY TOTAL MKT,STK_GRAVITA
IDX_NIFTY TOTAL MKT,STK_GESHIP
IDX_NIFTY TOTAL MKT,STK_GREAVESCOT
IDX_NIFTY TOTAL MKT,STK_GREENPANEL
IDX_NIFTY TOTAL MKT,STK_GAEL
IDX_NIFTY TOTAL MKT,STK_FLUOROCHEM
IDX_NIFTY TOTAL MKT,STK_GUJGASLTD
IDX_NIFTY TOTAL MKT,STK_GMDCLTD
IDX_NIFTY TOTAL MKT,STK_GNFC
IDX_NIFTY TOTAL MKT,STK_GPPL
IDX_NIFTY TOTAL MKT,STK_GSFC
IDX_NIFTY TOTAL MKT,STK_GSPL
IDX_NIFTY TOTAL MKT,STK_GULFOILLUB
IDX_NIFTY TOTAL MKT,STK_HEG
IDX_NIFTY TOTAL MKT,STK_HGINFRA
IDX_NIFTY TOTAL MKT,STK_HBLENGINE
IDX_NIFTY TOTAL MKT,STK_HCLTECH
IDX_NIFTY TOTAL MKT,STK_HDFCAMC
IDX_NIFTY TOTAL MKT,STK_HDFCBANK
IDX_NIFTY TOTAL MKT,STK_HDFCLIFE
IDX_NIFTY TOTAL MKT,STK_HFCL
IDX_NIFTY TOTAL MKT,STK_HAPPSTMNDS
IDX_NIFTY TOTAL MKT,STK_HAVELLS
IDX_NIFTY TOTAL MKT,STK_HCG
IDX_NIFTY TOTAL MKT,STK_HEMIPROP
IDX_NIFTY TOTAL MKT,STK_HERITGFOOD
IDX_NIFTY TOTAL MKT,STK_HEROMOTOCO
IDX_NIFTY TOTAL MKT,STK_HEXT
IDX_NIFTY TOTAL MKT,STK_HIKAL
IDX_NIFTY TOTAL MKT,STK_HSCL
IDX_NIFTY TOTAL MKT,STK_HINDALCO
IDX_NIFTY TOTAL MKT,STK_HAL
IDX_NIFTY TOTAL MKT,STK_HCC
IDX_NIFTY TOTAL MKT,STK_HINDCOPPER
IDX_NIFTY TOTAL MKT,STK_HINDPETRO
IDX_NIFTY TOTAL MKT,STK_HINDUNILVR
IDX_NIFTY TOTAL MKT,STK_HINDZINC
IDX_NIFTY TOTAL MKT,STK_POWERINDIA
IDX_NIFTY TOTAL MKT,STK_HOMEFIRST
IDX_NIFTY TOTAL MKT,STK_HONASA
IDX_NIFTY TOTAL MKT,STK_HONAUT
IDX_NIFTY TOTAL MKT,STK_HUDCO
IDX_NIFTY TOTAL MKT,STK_HYUNDAI
IDX_NIFTY TOTAL MKT,STK_ICICIBANK
IDX_NIFTY TOTAL MKT,STK_ICICIGI
IDX_NIFTY TOTAL MKT,STK_ICICIPRULI
IDX_NIFTY TOTAL MKT,STK_IDBI
IDX_NIFTY TOTAL MKT,STK_IDFCFIRSTB
IDX_NIFTY TOTAL MKT,STK_IFBIND
IDX_NIFTY TOTAL MKT,STK_IFCI
IDX_NIFTY TOTAL MKT,STK_IIFLCAPS
IDX_NIFTY TOTAL MKT,STK_IIFL
IDX_NIFTY TOTAL MKT,STK_INOXINDIA
IDX_NIFTY TOTAL MKT,STK_IRB
IDX_NIFTY TOTAL MKT,STK_IRCON
IDX_NIFTY TOTAL MKT,STK_ITCHOTELS
IDX_NIFTY TOTAL MKT,STK_ITC
IDX_NIFTY TOTAL MKT,STK_ITI
IDX_NIFTY TOTAL MKT,STK_IMAGICAA
IDX_NIFTY TOTAL MKT,STK_INDGN
IDX_NIFTY TOTAL MKT,STK_INDIACEM
IDX_NIFTY TOTAL MKT,STK_INDIAGLYCO
IDX_NIFTY TOTAL MKT,STK_INDIASHLTR
IDX_NIFTY TOTAL MKT,STK_INDIAMART
IDX_NIFTY TOTAL MKT,STK_INDIANB
IDX_NIFTY TOTAL MKT,STK_IEX
IDX_NIFTY TOTAL MKT,STK_INDHOTEL
IDX_NIFTY TOTAL MKT,STK_IMFA
IDX_NIFTY TOTAL MKT,STK_IOC
IDX_NIFTY TOTAL MKT,STK_IOB
IDX_NIFTY TOTAL MKT,STK_IRCTC
IDX_NIFTY TOTAL MKT,STK_IRFC
IDX_NIFTY TOTAL MKT,STK_IREDA
IDX_NIFTY TOTAL MKT,STK_INDIGOPNTS
IDX_NIFTY TOTAL MKT,STK_ICIL
IDX_NIFTY TOTAL MKT,STK_IGL
IDX_NIFTY TOTAL MKT,STK_INDUSTOWER
IDX_NIFTY TOTAL MKT,STK_INDUSINDBK
IDX_NIFTY TOTAL MKT,STK_INFIBEAM
IDX_NIFTY TOTAL MKT,STK_NAUKRI
IDX_NIFTY TOTAL MKT,STK_INFY
IDX_NIFTY TOTAL MKT,STK_INGERRAND
IDX_NIFTY TOTAL MKT,STK_INNOVACAP
IDX_NIFTY TOTAL MKT,STK_INOXGREEN
IDX_NIFTY TOTAL MKT,STK_INOXWIND
IDX_NIFTY TOTAL MKT,STK_INTELLECT
IDX_NIFTY TOTAL MKT,STK_INDIGO
IDX_NIFTY TOTAL MKT,STK_IGIL
IDX_NIFTY TOTAL MKT,STK_IKS
IDX_NIFTY TOTAL MKT,STK_IONEXCHANG
IDX_NIFTY TOTAL MKT,STK_IPCALAB
IDX_NIFTY TOTAL MKT,STK_ISGEC
IDX_NIFTY TOTAL MKT,STK_JBCHEPHARM
IDX_NIFTY TOTAL MKT,STK_JKCEMENT
